			Sum	Ma	Ti	On	To	Fr	Lø	Sø	Ma	Ti	On	To	Fr	Lø	Sø	Ma	Ti	On	To	Fr	Lø	Sø	Ma	Ti	On	To	Fr	Lø	Sø	Ma	Ti	On
			90,0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
Jira ref	Prosjekt	Fordeling	Totalt	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
DRIFT-27	DRIFT	Løpende 70/15/15 AFP/SO/OUS	13,5	1,5			1,5				2,0	1,0		3,0	1,0				1,5		2,0													
DRIFT-82	DRIFT	Løpende 70/15/15 AFP/SO/OUS	4,5		3,0						1,5																							
DRIFT-179	DRIFT	Løpende 70/15/15 AFP/SO/OUS	1,0								1,0																							
EFS-13	EFS	Løpende 70/15/15 AFP/SO/OUS	1,5	1,5																														
NOK-126	NOK	Løpende 70/15/15 AFP/SO/OUS	2,0																	2,0														
NYAFPFAKT-157	NYAFPFAKT	Løpende AFP	11,0	4,5	1,0	2,5					3,0																							
NYSOUTBET-116	NYSOUTBET	Løpende SO felles	1,0		1,0																													
NYTILSLUT-13	NYTILSLUT	Løpende 70/15/15 AFP/SO/OUS	1,0											1,0																				
NYTILSLUT-54	NYTILSLUT	Løpende 70/15/15 AFP/SO/OUS	2,0				2,0																											
NYTILSLUT-70	NYTILSLUT	Løpende 70/15/15 AFP/SO/OUS	7,0												3,0					4,0														
NYTILSLUT-81	NYTILSLUT	Løpende 70/15/15 AFP/SO/OUS	16,0															5,0	6,0	1,5	3,5													
P20-13	P20	Løpende 70/15/15 AFP/SO/OUS	20,0									6,5	7,5	3,5	2,5																			
P20-33	P20	Løpende 70/15/15 AFP/SO/OUS	2,0				2,0																											
P20-35	P20	Løpende 70/15/15 AFP/SO/OUS	7,5		2,5	5,0																												
